"公司代號","公司名稱","股利所屬年度","權利分派基準日","股票股利-股東配發內容-盈餘轉增資配股(元/股)","股票股利-股東配發內容-法定盈餘公積、資本公積轉增資配股(元/股)","股票股利-除權交易日","股票股利-員工紅利-配股總股數(股)","股票股利-員工紅利-配股總金額(元)","股票股利-員工紅利-配股總股數佔盈餘配股總股數之比例(%)","股票股利-員工紅利-員工紅利配股率","現金股利-股東配發內容-盈餘分配之股東現金股利(元/股)","現金股利-股東配發內容-法定盈餘公積、資本公積發放之現金(元/股)","現金股利-除息交易日","現金股利-現金股利發放日","現金股利-員工紅利總金額(元)","現金增資總股數(股)","現金增資認股比率(%)","現金增資認購價(元/股)","董監酬勞(元)","公告日期","公告時間","普通股每股面額"
"1101","台泥","101","2013/07/31","","","","","","",0.00000000,1.90000000,0.0,"2013/07/25","",44670317,"","","",71311156,"2013/07/11","11:20:05","新台幣                 10.0000元"
"1102","亞泥","101","2013/09/04",0.2000000000,0.0,"2013/08/29",0.0,0.0,"0.00",0.00000000,1.70000000,0.0,"2013/08/29","",264032017,0,0.000000000,0.00,198024013,"2013/08/15","14:16:28","新台幣                 10.0000元"
"1104","環球水泥","101","2013/07/19","","","","","","",0.00000000,0.75000000,0.0,"2013/07/11","",14454860,"","","",14454860,"2013/06/26","11:04:03","新台幣                 10.0000元"
"1109","信大水泥","101","2013/07/22","","","","","","",0.00000000,0.38000000,0.0,"2013/07/16","",790303,"","","",3951512,"2013/06/28","16:51:34","新台幣                 10.0000元"
"1110","東泥","101","2013/07/28","","","","","","",0.00000000,0.10000000,0.0,"2013/07/22","",595834,"","","",1787502,"2013/07/05","14:17:40","新台幣                 10.0000元"
"1201","味全公司","101","2013/07/24","","","","","","",0.00000000,0.60000000,0.0,"2013/07/18","",0,"","","",0,"2013/06/26","14:29:46","新台幣                 10.0000元"
"1203","味王公司","101","2013/09/06","","","","","","",0.00000000,0.30000000,0.0,"2013/08/29","",1548387,"","","",3870968,"2013/08/14","12:05:30","新台幣                 10.0000元"
"1210","大成長城","101","2013/09/04","","","","","","",0.00000000,1.20000000,0.0,"2013/08/29","",15000000,"","","",15000000,"2013/08/14","10:07:36","新台幣                 10.0000元"
"1215","卜蜂企業","101","2013/07/15","","","","","","",0.00000000,0.80000000,0.0,"2013/07/09","",2809000,"","","",0,"2013/06/24","17:46:56","新台幣                 10.0000元"
"1216","統一","101","2013/08/16",0.6000000000,0.0,"2013/08/08",0.0,0.0,"0.00",0.00000000,1.40000000,0.0,"2013/08/08","",1017561122,0,0.000000000,0.00,223332114,"2013/07/22","15:01:05","新台幣                 10.0000元"
"12160","特別股0","101","2013/08/16","","","2013/08/08","","","","",0.0,"","2013/08/08","","","","","","","2013/07/22","15:01:05","新台幣                 10.0000元"
"1219","福壽實業","101","2013/07/10","","","","","","",0.00000000,0.10000000,0.0,"2013/07/04","",0,"","","",0,"2013/06/19","16:24:36","新台幣                 10.0000元"
"12190","特別股0","101","2013/07/10","","","","","","","",0.0,"","2013/07/04","","","","","","","2013/06/19","16:24:36","新台幣                 10.0000元"
"1219","福壽實業","101","2013/08/01",0.2000000000,0.0,"2013/07/25",0.0,0.0,"0.00",0.00000000,"","","","",0,0,0.000000000,"",0,"2013/07/09","15:59:31","新台幣                 10.0000元"
"1220","台榮","101","2013/07/12","","","","","","",0.00000000,0.40000000,0.0,"2013/07/04","",5308787,"","","",5308787,"2013/06/19","14:19:10","新台幣                 10.0000元"
"1225","福懋油","101","2013/09/11","","","","","","",0.00000000,0.19026501,0.19026501,"2013/09/05","",2082290,"","","",2082290,"2013/08/20","18:00:15","新台幣                 10.0000元"
"1227","佳格","101","2013/07/23",1.5000000000,0.0,"2013/07/17",0.0,0.0,"0.00",0.00000000,2.00000000,0.0,"2013/07/17","",28199586,0,0.000000000,0.00,20142560,"2013/07/02","17:01:40","新台幣                 10.0000元"
"1229","聯華實業","101","2013/08/10","","","","","","",0.00000000,0.99923102,0.0,"2013/08/02","",28370878,"","","",8000000,"2013/07/18","17:19:39","新台幣                 10.0000元"
"1231","聯華食品","101","2013/09/02",0.8000000000,0.0,"2013/08/27",0.0,0.0,"0.00",0.00000000,1.20000000,0.0,"2013/08/27","",5830877,0,0.000000000,0.00,5830876,"2013/08/12","18:57:54","新台幣                 10.0000元"
"1232","大統益","101","2013/07/08","","","","","","",0.00000000,2.80000000,0.0,"2013/07/02","",9097996,"","","",9097996,"2013/06/18","14:16:11","新台幣                 10.0000元"
"1233","天仁","101","2013/07/24","","","","","","",0.00000000,2.30000000,0.0,"2013/07/18","",5483197,"","","",5483197,"2013/06/25","11:03:49","新台幣                 10.0000元"
"1234","黑松","101","2013/08/09","","","","","","",0.00000000,2.50000000,0.0,"2013/08/01","",13953857,"","","",41861573,"2013/07/18","09:37:06","新台幣                 10.0000元"
