"公司代號","公司名稱","股利所屬年度","權利分派基準日","股票股利-盈餘轉增資配股(元/股)","股票股利-資本公積轉增資配股(元/股)","股票股利-除權交易日","現金股利-盈餘分配之股東現金股利(元/股)","現金股利-法定盈餘公積、資本公積發放之現金(元/股)","現金股利-除息交易日","現金股利-現金股利發放日","現金增資總股數(股)","現金增資認股比率(%)","現金增資認購價(元/股)","公告日期","公告時間","普通股每股面額"
"1101","台泥","104","2016/07/31","","","",1.33000000,0.0,"2016/07/25","2016/08/26","","","","2016/07/04","16:27:46","新台幣                 10.0000元"
"1102","亞泥","104","2016/09/06","","","",1.10000000,0.0,"2016/08/31","2016/09/30","","","","2016/08/15","18:03:08","新台幣                 10.0000元"
"1103","嘉泥","105","2016/09/02","","","",0.10000000,0.0,"2016/08/25","2016/09/30","","","","2016/08/10","18:01:40","新台幣                 10.0000元"
"1104","環球水泥","104","2016/07/31",0.1000000000,0.0,"2016/07/25",1.00000000,0.0,"2016/07/25","2016/08/26",0,0.000000000,0.00,"2016/07/06","15:41:37","新台幣                 10.0000元"
"1108","幸福水泥","104","2016/07/26","","","",0.85000000,0.0,"2016/07/20","2016/08/19","","","","2016/07/05","15:56:01","新台幣                 10.0000元"
"1109","信大水泥","104","2016/07/17","","","",0.20000000,0.0,"2016/07/11","2016/08/05","","","","2016/06/22","18:04:46","新台幣                 10.0000元"
"1110","東泥","104","2016/07/29","","","",0.20000000,0.0,"2016/07/21","2016/08/11","","","","2016/07/05","15:56:10","新台幣                 10.0000元"
"1203","味王公司","104","2016/09/07","","","",1.00000000,0.0,"2016/09/01","2016/10/06","","","","2016/08/15","17:47:01","新台幣                 10.0000元"
"1210","大成長城","104","2016/09/03","","","",0.70000000,0.0,"2016/08/26","2016/09/29","","","","2016/08/11","10:53:00","新台幣                 10.0000元"
"1213","大飲","104","2016/07/25",1.0000000000,0.0,"2016/07/19","","","","",0,0.000000000,0.00,"2016/07/01","16:38:33","新台幣                 10.0000元"
"1215","卜蜂企業","104","2016/07/11","","","",2.00000000,0.0,"2016/07/05","2016/08/03","","","","2016/06/20","17:17:53","新台幣                 10.0000元"
"1216","統一","104","2016/08/12","","","",2.00000000,0.0,"2016/08/04","2016/09/09","","","","2016/07/20","17:17:55","新台幣                 10.0000元"
"1217","愛之味","104","2016/09/13",0.0,0.1500000000,"2016/09/07","","","","",0,0.000000000,"","2016/08/22","16:06:06","新台幣                 10.0000元"
"1219","福壽實業","104","2016/07/19","","","",0.25000000,0.0,"2016/07/13","2016/08/03","","","","2016/06/27","17:27:16","新台幣                 10.0000元"
"1220","台榮","104","2016/07/15","","","",0.50000000,0.0,"2016/07/07","2016/08/05","","","","2016/06/21","14:15:46","新台幣                 10.0000元"
"1225","福懋油","104","2016/09/05","","","",1.00000000,0.0,"2016/08/30","2016/09/26","","","","2016/08/05","17:47:58","新台幣                 10.0000元"
"1227","佳格","104","2016/08/24",1.1000000000,0.0,"2016/08/18",1.60000000,0.0,"2016/08/18","2016/09/26",0,0.000000000,0.00,"2016/08/04","17:29:58","新台幣                 10.0000元"
"1229","聯華實業","104","2016/09/04",0.2500000000,0.0,"2016/08/29",1.20000000,0.0,"2016/08/29","2016/09/30",0,0.000000000,0.00,"2016/08/12","14:03:52","新台幣                 10.0000元"
"1231","聯華食品","104","2016/09/04",0.3300000000,0.0,"2016/08/29",1.32000000,0.0,"2016/08/29","2016/09/30",0,0.000000000,0.00,"2016/08/12","11:56:21","新台幣                 10.0000元"
"1232","大統益","104","2016/07/11","","","",5.00000000,0.0,"2016/07/05","2016/07/29","","","","2016/07/04","18:20:10","新台幣                 10.0000元"
"1233","天仁","104","2016/07/19","","","",2.00000000,0.0,"2016/07/13","2016/08/05","","","","2016/06/21","17:43:27","新台幣                 10.0000元"
"1234","黑松","104","2016/08/03","","","",1.50000000,0.0,"2016/07/28","2016/08/19","","","","2016/07/13","14:47:54","新台幣                 10.0000元"
"1236","宏亞食品","104","2016/07/24","","","",0.70000000,0.0,"2016/07/18","2016/08/15","","","","2016/07/01","16:39:22","新台幣                 10.0000元"
"1256","鮮活果汁-KY","104","2016/07/24","","","",4.00000000,0.0,"2016/07/18","2016/08/04","","","","2016/07/01","17:45:51","新台幣                 10.0000元"
"1262","綠悅-KY","104","2016/09/26","","","",5.00000000,0.0,"2016/09/20","2016/10/25","","","","2016/08/12","17:16:44","新台幣                 10.0000元"
"1301","台塑","104","2016/07/19","","","",3.60000000,0.0,"2016/07/13","2016/08/10","","","","2016/06/23","11:05:39","新台幣                 10.0000元"
"1303","南亞塑膠","104","2016/07/25","","","",3.30000000,0.0,"2016/07/19","2016/08/17","","","","2016/06/30","17:48:36","新台幣                 10.0000元"
"1304","台聚","104","2016/08/05","","","",0.50000000,0.0,"2016/07/28","2016/08/26","","","","2016/07/14","14:41:12","新台幣                 10.0000元"
"1305","華夏","104","2016/08/25",0.2000000000,0.0,"2016/08/18",1.00000000,0.0,"2016/08/18","2016/09/10",0,0.000000000,0.00,"2016/08/03","17:23:49","新台幣                 10.0000元"
"1307","三芳化工","104","2016/08/05",0.3000000000,0.0,"2016/07/28",1.70000000,0.0,"2016/07/28","2016/08/25",0,0.000000000,0.00,"2016/07/13","14:28:44","新台幣                 10.0000元"
"1308","亞聚","104","2016/08/25",0.2000000000,0.0,"2016/08/18",0.60000000,0.0,"2016/08/18","2016/09/10",0,0.000000000,0.00,"2016/08/03","17:24:00","新台幣                 10.0000元"
"1310","台苯","104","2016/08/13","","","",1.00000000,0.0,"2016/08/05","2016/09/07","","","","2016/07/22","09:58:36","新台幣                 10.0000元"
"1312","國喬石化","104","2016/07/22","","","",0.80000000,0.0,"2016/07/14","2016/08/12","","","","2016/06/23","17:36:59","新台幣                 10.0000元"
"1312A","國喬特","104","2016/07/22","","","",1.40000000,"","2016/07/14","2016/08/12","","","","2016/06/23","17:36:59","新台幣                 10.0000元"
"1313","聯成","104","2016/08/08","","","",0.20176550,0.0,"2016/08/02","2016/08/30","","","","2016/07/15","10:43:30","新台幣                 10.0000元"
