"公司代號","公司名稱","股利所屬年度","權利分派基準日","股票股利-股東配發內容-盈餘轉增資配股(元/股)","股票股利-股東配發內容-法定盈餘公積、資本公積轉增資配股(元/股)","股票股利-除權交易日","股票股利-員工紅利-配股總股數(股)","股票股利-員工紅利-配股總金額(元)","股票股利-員工紅利-配股總股數佔盈餘配股總股數之比例(%)","股票股利-員工紅利-員工紅利配股率","現金股利-股東配發內容-盈餘分配之股東現金股利(元/股)","現金股利-股東配發內容-法定盈餘公積、資本公積發放之現金(元/股)","現金股利-除息交易日","現金股利-現金股利發放日","現金股利-員工紅利總金額(元)","現金增資總股數(股)","現金增資認股比率(%)","現金增資認購價(元/股)","董監酬勞(元)","公告日期","公告時間","普通股每股面額"
"1101","台泥","96","2008/08/02",0.1000000000,0.0,"2008/07/25",11052300.0,110523000.0,"25.39",0.00340213,1.90000000,0.0,"2008/07/25","",96836821,0,0.000000000,0.00,207359821,"2008/07/10","18:21:49","新台幣                 10.0000元"
"1102","亞泥","96","2008/08/25",0.6000000000,0.0,"2008/08/19",0.0,0.0,"0.00",0.00000000,2.40000000,0.0,"2008/08/19","",352863337,0,0.000000000,0.00,264647503,"2008/08/05","09:30:08","新台幣                 10.0000元"
"1103","嘉泥","96","2008/08/12",1.0021074600,0.0,"2008/08/06",0.0,0.0,"0.00",0.00000000,0.0,0.0,"","",11495532,0,0.000000000,0.00,10611260,"2008/07/25","10:31:25","新台幣                 10.0000元"
"1104","環球水泥","96","2008/08/08",0.8000000000,0.0,"2008/07/31",0.0,0.0,"0.00",0.00000000,0.0,0.0,"","",14276404,0,0.000000000,0.00,14276404,"2008/07/15","09:34:08","新台幣                 10.0000元"
"1108","幸福水泥","96","2008/09/22","","","","","","",0.00000000,0.25000000,0.0,"2008/09/16","",2548314,"","","",4247190,"2008/08/29","10:06:02","新台幣                 10.0000元"
"1109","信大水泥","96","2008/07/23","","","","","","",0.00000000,0.50000000,0.0,"2008/07/17","",2246644,"","","",11233222,"2008/06/23","16:25:23","新台幣                 10.0000元"
"1110","東泥","96","2008/07/15","","","","","","",0.00000000,0.40000000,0.0,"2008/07/09","",2400003,"","","",7200010,"2008/06/24","16:10:39","新台幣                 10.0000元"
"1210","大成長城","97","2008/08/22",0.4933499184,0.0,"2008/08/14",0.0,0.0,"0.00",0.00000000,1.48004975,0.0,"2008/08/14","",15000000,0,0.000000000,0.00,15000000,"2008/07/30","09:56:12","新台幣                 10.0000元"
"1215","卜蜂企業","96","2008/07/15","","","","","","",0.00000000,1.00000000,0.0,"2008/07/09","",2673539,"","","",0,"2008/06/24","16:08:09","新台幣                 10.0000元"
"1216","統一","96","2008/08/22",0.5000000000,0.0,"2008/08/14",0.0,0.0,"0.00",0.00000000,2.00000000,0.0,"2008/08/14","",851963977,0,0.000000000,0.00,198305769,"2008/07/29","12:08:42","新台幣                 10.0000元"
"1217","愛之味","97","2008/04/22",0.0,0.0,"2008/04/16",0.0,0.0,"0.00",0.00000000,0.0,0.0,"","","",70000000,14.827000000,10.30,0,"2008/04/01","11:30:26","新台幣                 10.0000元"
"1219","福壽實業","96","2008/08/04","","","","","","",0.00000000,0.30000000,0.0,"2008/07/29","",1523293,"","","",7616463,"2008/07/11","14:10:44","新台幣                 10.0000元"
"1219","福壽實業","96","2008/08/31",0.2000000000,0.1000000000,"2008/08/25",0.0,0.0,"0.00",0.00000000,"","","","","",0,0.000000000,0.00,7616463,"2008/08/11","09:13:51","新台幣                 10.0000元"
"1225","福懋油","96","2008/08/05","","","","","","",0.00000000,0.25000000,0.0,"2008/07/30","",2259723,"","","",2259722,"2008/07/15","18:35:58","新台幣                 10.0000元"
"1227","佳格","96","2008/07/14","","","","","","",0.00000000,0.90000000,0.0,"2008/07/08","",5703820,"","","",3430513,"2008/06/23","16:10:35","新台幣                 10.0000元"
"1229","聯華實業","96","2008/08/17",0.4998317700,0.0,"2008/08/11",1300000.0,13000000.0,"3.36",0.00173729,0.69976449,0.0,"2008/08/11","",0,0,0.000000000,0.00,8000000,"2008/07/25","17:36:33","新台幣                 10.0000元"
"1231","聯華食品","96","2008/08/27","","","","","","",0.00000000,0.60000000,0.0,"2008/08/21","",1459013,"","","",1459013,"2008/08/04","09:39:03","新台幣                 10.0000元"
