"公司代號","公司名稱","營業收入(百萬元)","毛利率(%)(營業毛利)/(營業收入)","營業利益率(%)(營業利益)/(營業收入)","稅前純益率(%)(稅前純益)/(營業收入)","稅後純益率(%)(稅後純益)/(營業收入)"
"1101","台泥","88684.64","21.06","17.10","17.97","14.16"
"1102","亞泥","57234.89","13.80","10.29","16.80","14.40"
"1103","嘉泥","2818.00","5.44","-7.35","7.91","6.79"
"1104","環球水泥","4242.33","9.13","3.09","26.26","24.60"
"1108","幸福水泥","3732.29","14.48","9.21","9.63","7.93"
"1109","信大水泥","3629.21","20.27","9.92","9.83","7.58"
"1110","東泥","1485.76","10.36","6.42","11.42","11.32"
"1201","味全公司","21764.29","29.80","4.54","2.63","1.32"
"1203","味王公司","4514.17","23.82","8.86","8.80","5.92"
"1210","大成長城","67482.42","9.18","1.60","2.31","1.92"
"1213","大飲","567.75","15.01","3.39","4.29","3.23"
"1215","卜蜂企業","13008.76","11.55","5.20","5.48","4.38"
"1216","統一","327273.40","31.74","4.71","5.69","4.57"
"1217","愛之味","3509.91","29.46","-7.55","-9.63","-9.97"
"1218","泰山企業","7062.84","15.23","-0.91","1.17","1.06"
"1219","福壽實業","7803.62","6.35","0.39","0.77","0.66"
"1220","台榮","2497.98","9.17","1.85","2.36","1.97"
"1225","福懋油","9150.57","4.43","0.24","-0.12","-0.16"
"1227","佳格","15792.97","28.67","11.63","12.03","9.95"
"1229","聯華實業","3913.75","12.10","3.66","41.21","39.23"
"1231","聯華食品","4380.20","20.14","2.05","2.58","2.19"
"1232","大統益","16344.54","6.55","4.03","4.38","3.61"
"1233","天仁","1605.46","60.08","12.25","13.75","11.49"
"1234","黑松","4688.91","31.42","0.71","8.41","6.69"
"1235","興泰","145.61","6.18","-11.59","94.32","93.74"
"1236","宏亞食品","1753.67","24.53","0.79","7.69","7.34"
"1262","F-綠悅","4682.57","34.59","29.22","28.97","21.78"
"1301","台塑","166359.73","7.27","2.36","12.54","11.12"
"1303","南亞塑膠","245576.45","9.36","3.89","12.27","11.96"
"1304","台聚","46688.25","6.99","1.39","1.99","1.51"
