"公司代號","公司名稱","營業收入(百萬元)","毛利率(%)(營業毛利)/(營業收入)","營業利益率(%)(營業利益)/(營業收入)","稅前純益率(%)(稅前純益)/(營業收入)","稅後純益率(%)(稅後純益)/(營業收入)"
"1101","台泥","118325.81","21.02","16.78","17.92","14.02"
"1102","亞泥","77683.28","14.33","10.62","17.66","14.04"
"1103","嘉泥","3937.69","5.57","-6.57","0.24","1.37"
"1104","環球水泥","5819.90","9.35","3.07","25.22","23.79"
"1108","幸福水泥","5099.20","14.49","8.64","8.59","7.20"
"1109","信大水泥","5000.09","18.88","8.68","8.54","6.74"
"1110","東泥","2078.22","10.22","6.35","6.30","6.85"
"1201","味全公司","26469.17","28.48","1.63","-0.64","-1.43"
"1203","味王公司","6296.55","22.67","8.02","8.47","5.74"
"1210","大成長城","91740.92","8.72","1.25","1.63","1.09"
"1213","大飲","702.12","14.05","1.76","2.35","1.64"
"1215","卜蜂企業","17527.76","11.91","5.55","5.68","4.61"
"1216","統一","425187.18","31.04","4.18","5.24","4.17"
"1217","愛之味","4283.75","28.18","-8.01","-9.23","-9.55"
"1218","泰山企業","9001.13","15.14","-1.13","0.83","0.75"
"1219","福壽實業","10543.59","6.97","0.87","1.38","1.18"
"1220","台榮","3769.96","6.92","0.78","1.38","1.11"
"1225","福懋油","12407.41","5.22","0.94","0.64","0.49"
"1227","佳格","21800.01","28.54","11.27","11.79","9.59"
"1229","聯華實業","5302.42","12.66","4.80","33.35","31.84"
"1231","聯華食品","5893.26","21.02","3.84","4.47","3.77"
"1232","大統益","21849.46","7.65","4.97","5.51","4.55"
"1233","天仁","2149.08","59.62","11.18","12.97","10.79"
"1234","黑松","6015.39","29.93","-0.22","7.97","6.57"
"1235","興泰","172.10","5.79","-24.08","29.32","29.90"
"1236","宏亞食品","2371.61","26.76","2.29","7.67","7.06"
"1262","F-綠悅","6255.93","34.80","29.34","28.94","24.59"
"1301","台塑","216589.04","7.64","2.55","9.49","8.31"
"1303","南亞塑膠","325473.15","8.92","3.38","10.60","10.08"
"1304","台聚","59704.56","6.54","0.58","1.47","1.05"
"1305","華夏","14559.83","7.81","0.66","1.06","0.84"
"1307","三芳化工","11191.14","24.58","10.13","10.53","8.67"
"1308","亞聚","5566.29","10.56","7.33","10.49","8.98"
"1309","台達化工","20933.82","0.38","-3.10","-3.05","-3.02"
"1310","台苯","17028.18","-0.87","-2.88","-2.39","-0.30"
"1312","國喬石化","24340.26","6.54","1.82","3.10","2.02"
"1313","聯成","53282.10","2.51","-0.73","-0.74","-0.46"
"1314","中石化","33249.48","-2.30","-6.54","1.06","0.89"
"1315","達新工業","2989.77","18.76","3.08","9.04","7.54"
"1316","上曜","793.52","12.25","-20.67","0.87","-4.47"
"1319","東陽","21141.66","22.37","5.15","5.68","4.51"
"1321","大洋","5365.93","3.85","-3.25","-2.70","-2.70"
"1323","永裕","3471.41","25.64","13.65","13.85","10.02"
"1324","地球工業","1447.40","16.14","2.67","3.60","2.97"
"1325","恒大","1205.43","9.01","2.41","5.91","4.70"
"1326","台化","401453.74","4.43","1.01","3.91","3.49"
"1337","F-再生","5381.77","34.60","26.33","28.44","21.06"
"1338","F-廣華","8404.24","22.79","10.79","10.58","7.54"
"1339","昭輝","1439.88","35.94","23.97","26.28","20.93"
"1340","F-勝悅","3094.51","37.46","33.25","35.82","30.19"
"1402","遠東新","235506.64","20.32","5.04","9.17","7.30"
"1410","南染","637.51","31.39","19.46","21.23","17.51"
"1413","宏洲纖維","3511.56","-3.53","-6.45","-7.00","-7.04"
"1414","東和","1312.55","5.34","0.41","3.48","3.49"
"1416","廣豐","1161.92","22.30","-1.41","45.81","41.36"
"1417","嘉裕","3286.77","28.27","-5.77","0.61","0.89"
"1418","東華","2008.92","-0.79","-9.22","-7.83","-7.97"
"1419","新紡","1176.18","24.54","-1.96","9.18","8.87"
"1423","利華羊毛","689.87","-1.86","-7.35","-7.40","-10.82"
"1432","大魯閣","131.83","47.37","-126.77","-46.77","-110.60"
"1434","福懋興業","48191.11","11.91","6.01","8.66","7.93"
"1435","中福國際","26.91","88.07","-26.92","-6.15","-6.15"
"1436","華友聯","1581.33","29.53","20.91","20.89","20.30"
"1437","勤益投控","1091.67","21.12","8.75","21.72","19.80"
"1438","裕豐","12.42","76.46","9.98","35.50","29.36"
"1439","中和羊毛","423.79","3.72","-3.45","0.22","0.18"
"1440","南紡","20764.98","8.41","1.03","2.56","1.82"
"1441","大東紡織","1662.34","-2.38","-13.86","-11.79","-11.70"
"1442","名軒","1455.97","43.19","31.90","33.28","28.51"
"1443","立益紡織","1746.39","-3.21","-14.75","-13.59","-13.66"
"1444","力麗","11532.92","4.16","-0.47","2.48","2.01"
"1445","大宇紡織","1908.68","7.08","0.49","1.57","1.52"
"1446","宏和","840.03","19.60","0.41","2.57","1.58"
"1447","力鵬","22363.19","3.34","0.21","1.85","1.55"
"1449","佳和實業","3455.80","0.41","-10.66","0.74","-0.18"
"1451","年興紡織","13213.13","8.03","2.22","6.75","5.24"
"1452","宏益","2119.91","11.41","7.12","9.33","8.20"
"1453","大將","233.41","-8.51","-24.99","-19.07","-20.08"
"1454","台富","2108.20","8.43","2.35","3.51","3.25"
"1455","集盛","18172.17","2.29","-0.16","0.47","0.32"
"1456","怡華","908.53","1.22","-10.55","-123.45","-123.20"
"1457","宜進","4418.06","6.95","2.89","2.45","2.32"
"1459","聯發紡織","4068.02","4.35","0.10","5.11","4.35"
"1460","宏遠","8158.22","17.77","3.95","5.39","4.58"
"1463","強盛染整","534.74","20.05","4.78","11.80","16.72"
"1464","得力實業","5684.57","14.19","0.00","15.81","15.68"
"1465","偉全實業","2697.56","12.02","3.40","6.38","5.80"
"1466","聚隆","5011.57","7.22","0.31","1.29","1.08"
"1467","南緯實業","7185.60","19.26","1.82","1.73","0.89"
"1468","昶和纖維","588.34","7.83","-13.66","-11.29","-11.29"
"1469","理隆纖維","474.89","9.45","-1.95","-0.09","-0.01"
"1470","大統染","744.31","21.41","9.78","10.77","8.92"
"1471","首利","3857.16","2.54","-4.54","-1.79","-2.04"
"1472","三洋紡","981.56","0.50","-6.08","-6.51","-6.59"
"1473","台南企業","9137.37","18.05","-5.57","-0.37","-1.52"
"1474","弘裕","3533.65","7.89","0.88","2.09","1.61"
"1475","本盟光電","221.13","-10.49","-32.69","-33.15","-33.12"
"1476","儒鴻","20842.75","26.25","16.83","17.94","14.41"
"1477","聚陽實業","20888.80","21.67","9.99","10.03","8.16"
"1503","士電","19802.93","20.36","6.37","8.37","6.73"
"1504","東元電機","53820.60","24.86","8.17","10.60","8.19"
"1506","正道","1566.41","15.54","1.97","0.58","0.48"
"1507","永大機電","23875.78","25.89","11.26","12.02","8.61"
"1512","瑞利","3936.33","10.53","-4.13","-4.45","-5.83"
"1513","中興電","11320.76","17.86","5.79","7.57","5.97"
"1514","亞力電機","3403.12","13.50","1.80","3.40","3.26"
"1515","力山","3606.27","19.80","3.34","4.81","4.05"
"1516","川飛","209.10","8.46","2.59","12.03","15.62"
"1517","利奇機械","3882.82","15.15","6.20","9.39","6.83"
"1519","華城電機","5123.37","19.10","6.39","6.36","5.10"
"1521","大億","4962.42","17.96","7.84","9.14","7.53"
"1522","堤維西","18762.44","20.04","3.90","5.35","4.09"
"1524","耿鼎企業","2474.25","14.26","0.64","0.35","0.27"
"1525","江申工業","1185.71","11.24","1.91","30.05","26.95"
"1526","日馳","756.00","23.07","7.48","8.07","7.18"
"1527","鑽全","3143.23","28.40","19.04","37.16","30.79"
"1528","恩德","3268.62","23.53","-0.95","1.30","0.49"
"1529","樂士","105.63","-6.22","-43.25","-26.63","-62.48"
"1530","亞崴機電","3913.31","21.92","7.88","9.25","7.15"
"1531","高林股","2777.86","17.28","3.63","7.64","7.27"
"1532","勤美","16933.76","22.61","11.11","10.33","6.97"
"1533","車王電","2657.65","36.09","11.56","11.79","8.58"
"1535","中宇","10351.52","9.94","5.17","8.28","6.58"
"1536","和大工業","4236.50","30.54","17.97","20.43","16.80"
"1537","廣隆光電","6765.83","19.19","12.43","13.27","10.00"
"1538","正峰新","865.70","13.85","-10.33","-6.15","-6.15"
