"公司代號","公司名稱","營業收入(百萬元)","毛利率(%)(營業毛利)/(營業收入)","營業利益率(%)(營業利益)/(營業收入)","稅前純益率(%)(稅前純益)/(營業收入)","稅後純益率(%)(稅後純益)/(營業收入)"
"1101","台泥","69118.30","14.59","9.56","8.51","6.79"
"1102","亞泥","49113.91","10.04","5.81","10.36","8.97"
"1103","嘉泥","1957.61","-6.70","-20.47","-18.89","-19.65"
"1104","環球水泥","3770.78","9.52","2.56","26.07","24.13"
"1108","幸福水泥","3765.70","20.02","14.85","14.38","10.61"
"1109","信大水泥","3204.96","8.96","-0.19","-1.70","-3.17"
"1110","東泥","1371.85","8.20","5.04","8.92","8.91"
"1201","味全公司","15400.62","27.52","-5.23","-7.46","-9.16"
"1203","味王公司","5106.82","23.87","10.49","12.13","9.24"
"1210","大成長城","58723.16","10.55","1.76","1.56","1.06"
"1213","大飲","602.09","15.84","5.15","6.18","4.91"
"1215","卜蜂企業","12374.53","11.80","4.97","5.14","3.96"
"1216","統一","320635.40","33.62","5.83","7.58","6.04"
"1217","愛之味","3291.80","32.20","-3.62","2.07","2.95"
"1218","泰山企業","6213.37","16.70","-0.77","1.41","1.28"
"1219","福壽實業","7127.99","8.08","0.45","0.60","0.37"
"1220","台榮","2429.93","10.25","2.80","3.91","3.30"
"1225","福懋油","8051.49","6.79","2.05","1.67","1.35"
"1227","佳格","19233.85","32.04","13.30","13.91","11.19"
"1229","聯華實業","3928.01","13.48","4.59","34.42","33.63"
"1231","聯華食品","4893.03","19.88","4.71","6.25","5.08"
"1232","大統益","13366.09","9.18","5.89","6.39","5.23"
"1233","天仁","1591.02","58.01","8.89","10.38","8.61"
"1234","黑松","4830.13","35.36","4.18","14.04","11.74"
"1235","興泰","78.93","9.66","-11.95","30.17","29.88"
"1236","宏亞食品","1686.36","26.69","3.57","4.07","3.44"
"1262","F-綠悅","4614.93","36.33","29.62","29.44","24.98"
"1301","台塑","145699.71","11.71","6.25","19.51","17.18"
"1303","南亞塑膠","232854.19","13.02","7.31","16.17","13.27"
"1304","台聚","39546.83","10.14","3.25","3.79","2.90"
"1305","華夏","10310.04","13.63","5.96","6.43","5.06"
"1307","三芳化工","8477.48","27.08","12.13","12.39","9.90"
"1308","亞聚","3722.12","11.62","7.81","12.85","10.89"
"1309","台達化工","13191.55","5.10","1.07","0.85","0.69"
"1310","台苯","9766.66","10.65","7.91","7.09","5.69"
"1312","國喬石化","15751.12","16.04","10.22","11.09","9.24"
"1313","聯成","33466.89","4.12","0.31","0.93","0.94"
"1314","中石化","21480.37","0.67","-3.74","0.81","0.66"
"1315","達新工業","2071.42","18.52","2.80","11.12","9.92"
"1316","上曜","698.44","15.19","-10.89","-11.98","-12.67"
"1319","東陽","16334.94","22.54","7.29","7.84","6.41"
"1321","大洋","3651.71","8.16","0.54","1.95","1.95"
"1323","永裕","2274.86","24.17","11.40","11.92","8.80"
"1324","地球工業","971.01","19.80","4.90","5.65","4.43"
"1325","恒大","810.47","14.95","8.08","10.73","8.58"
"1326","台化","250678.90","10.23","5.95","11.18","9.77"
"1337","F-再生","3354.19","19.04","8.32","9.60","6.36"
"1338","F-廣華","6032.58","23.60","10.94","11.79","9.18"
"1339","昭輝","1467.44","31.17","17.14","20.98","16.46"
"1340","F-勝悅","2278.10","33.70","29.92","33.37","28.07"
"1402","遠東新","160880.35","24.24","7.57","10.31","7.81"
"1410","南染","476.10","36.08","23.28","25.15","21.05"
"1413","宏洲纖維","1909.01","-3.47","-7.48","-0.98","-1.50"
"1414","東和","848.08","2.58","-3.16","-1.56","-0.99"
"1416","廣豐","1128.80","20.98","1.75","1.42","2.52"
"1417","嘉裕","2635.34","22.09","-13.58","-11.84","-11.86"
"1418","東華","1041.94","-3.70","-14.13","-10.46","-10.64"
"1419","新紡","775.65","20.20","-9.23","17.13","16.91"
"1423","利華羊毛","489.21","6.00","0.56","-3.48","-3.91"
"1432","大魯閣","252.25","39.19","-69.83","-43.33","-16.46"
"1434","福懋興業","32891.55","14.19","7.74","9.14","7.62"
"1435","中福國際","22.06","89.23","-5.64","2.87","2.87"
"1436","華友聯","100.32","29.83","-12.23","-30.73","-42.87"
"1437","勤益投控","619.00","25.27","13.50","12.37","11.81"
"1438","裕豐","23.50","76.10","46.83","74.19","66.65"
"1439","中和羊毛","266.43","3.72","-4.56","0.22","0.24"
"1440","南紡","16690.08","13.09","3.51","7.11","5.69"
"1441","大東紡織","1402.92","7.02","-2.64","-4.48","-4.23"
"1442","名軒","1430.88","43.43","33.41","33.44","30.81"
"1443","立益紡織","984.87","0.23","-10.35","-12.33","-12.33"
"1444","力麗","7886.03","7.49","2.77","4.90","4.39"
"1445","大宇紡織","1384.54","12.44","4.65","5.87","5.11"
"1446","宏和","658.70","17.13","-3.00","0.71","-0.08"
"1447","力鵬","13174.96","2.38","-1.31","0.94","0.81"
"1449","佳和實業","2206.03","0.80","-11.47","-11.73","-11.71"
"1451","年興紡織","9634.13","9.70","4.06","5.34","4.34"
"1452","宏益","1522.59","17.73","12.20","24.72","21.98"
"1453","大將","307.44","31.93","18.69","20.44","20.37"
"1454","台富","1607.04","11.21","5.45","6.61","5.54"
"1455","集盛","11492.16","2.11","-0.86","0.94","0.97"
"1456","怡華","432.77","14.03","-2.87","-13.43","-13.43"
"1457","宜進","3073.56","8.32","2.09","16.52","15.95"
"1459","聯發紡織","2940.45","8.95","4.82","9.83","8.44"
"1460","宏遠","6016.34","18.79","4.95","5.18","4.46"
"1463","強盛染整","380.99","17.55","2.48","14.65","13.68"
"1464","得力實業","4933.09","17.75","5.55","7.56","5.87"
"1465","偉全實業","1791.84","14.08","4.04","6.91","6.18"
"1466","聚隆","3117.78","6.85","0.09","0.47","0.39"
"1467","南緯實業","5337.68","18.54","1.24","0.64","-0.16"
"1468","昶和纖維","452.50","11.49","-8.25","-9.44","-9.44"
"1469","理隆纖維","341.66","14.43","2.42","2.05","1.49"
"1470","大統染","578.01","21.34","8.61","9.16","7.40"
"1471","首利","1397.31","-7.25","-20.05","-16.78","-16.84"
"1472","三洋紡","589.11","-0.13","-1.12","-2.68","-3.27"
"1473","台南企業","7056.81","16.27","-2.96","-0.68","-1.99"
"1474","弘裕","2588.03","10.92","3.38","3.92","3.16"
"1475","本盟光電","167.03","-5.42","-28.04","-34.45","-34.38"
"1476","儒鴻","18275.76","27.56","18.74","20.18","16.29"
"1477","聚陽實業","17744.10","23.74","11.58","11.91","9.68"
"1503","士電","14770.88","20.69","6.10","8.41","6.58"
"1504","東元電機","36123.36","25.50","7.90","10.42","7.89"
"1506","正道","1169.04","17.67","2.68","3.26","2.69"
"1507","永大機電","17681.76","26.92","10.83","11.51","8.52"
"1512","瑞利","2632.03","10.54","-5.05","-5.41","-6.54"
"1513","中興電","7111.22","23.57","7.15","9.64","7.62"
"1514","亞力電機","2639.37","13.17","2.65","4.92","4.19"
"1515","力山","2582.74","22.45","5.45","6.55","4.91"
"1516","川飛","192.00","7.14","1.53","40.32","40.27"
"1517","利奇機械","2642.50","14.24","4.09","7.17","5.27"
"1519","華城電機","3643.43","18.21","6.12","5.89","4.14"
"1521","大億","4300.78","17.63","8.64","10.23","8.66"
"1522","堤維西","11238.58","21.57","5.54","7.22","5.34"
"1524","耿鼎企業","1798.65","17.01","3.64","-17.03","-14.15"
"1525","江申工業","909.88","10.62","2.86","33.47","29.83"
"1526","日馳","689.33","22.80","9.72","12.69","10.47"
"1527","鑽全","2607.36","29.48","19.22","35.80","27.65"
"1528","恩德","2393.39","29.77","0.27","0.52","0.36"
"1529","樂士","61.09","10.42","-24.94","-81.12","-81.12"
"1530","亞崴機電","2840.74","20.24","6.68","10.92","8.33"
"1531","高林股","1980.37","20.58","3.83","8.53","6.51"
"1532","勤美","12727.61","23.30","11.96","11.71","9.71"
"1533","車王電","1853.99","35.00","8.49","9.79","6.60"
"1535","中宇","7121.13","9.54","4.19","6.51","5.35"
"1536","和大工業","3860.17","35.38","23.36","24.94","20.52"
"1537","廣隆光電","5239.11","20.02","13.49","14.84","11.26"
"1538","正峰新","594.61","15.20","-8.38","-2.43","-2.43"
"1539","巨庭機械","2142.88","14.39","9.90","11.87","9.46"
"1540","喬福機械","709.33","22.31","11.98","14.55","12.12"
"1541","錩泰","2284.27","20.06","9.50","11.92","9.80"
"1558","伸興","4617.88","25.66","16.12","19.68","14.91"
"1560","中砂","3099.79","30.99","17.79","18.22","15.06"
"1568","倉佑","1738.61","16.23","7.57","7.52","5.69"
"1582","信錦","7145.72","22.27","11.40","13.02","8.52"
"1583","程泰","5358.13","27.06","11.33","15.05","11.57"
"1589","F-永冠","6180.45","31.47","17.12","19.82","14.72"
"1590","F-亞德","6632.91","51.97","24.36","22.46","16.08"
"1592","F-英瑞","3928.15","32.74","6.56","6.11","4.51"
"1603","華電","2203.29","8.67","3.72","14.08","13.94"
"1604","聲寶","7659.17","24.13","2.55","6.51","6.36"
"1605","華新","111900.16","3.52","1.08","1.62","1.09"
"1608","華榮","6396.76","-2.16","-4.25","-6.99","-6.30"
"1609","大亞電線","11646.47","2.58","-2.97","-4.60","-4.32"
"1611","中電","1998.62","23.50","0.95","5.55","3.66"
