"公司代號","公司名稱","營業收入(百萬元)","毛利率(%)(營業毛利)/(營業收入)","營業利益率(%)(營業利益)/(營業收入)","稅前純益率(%)(稅前純益)/(營業收入)","稅後純益率(%)(稅後純益)/(營業收入)"
"1236","宏亞食品","2317.07","29.10","4.62","5.21","4.39"
"1452","宏益","1981.64","16.92","11.15","20.98","18.71"
"1560","中砂","4046.26","30.88","16.97","17.45","14.42"
"1605","華新","149338.12","3.89","1.31","1.65","1.16"
"1721","三晃","1432.40","14.78","4.36","4.14","4.14"
"1730","花仙子","1985.55","45.31","9.06","10.68","8.12"
"1731","美吾華","1369.19","46.05","8.26","6.92","5.78"
"2059","川湖","4498.35","57.43","44.98","52.87","42.75"
"2062","橋椿","6776.53","22.99","10.80","11.94","9.20"
"2325","矽品","82839.92","26.09","16.00","12.54","10.58"
"2330","台積電","843497.37","48.65","37.94","41.54","36.34"
"2344","華邦電","38350.32","30.83","10.71","11.08","9.06"
"2405","浩鑫","5027.17","13.62","-5.06","-4.76","-4.32"
"2409","友達","360346.49","11.06","4.86","2.11","1.34"
"2439","美律","12240.23","19.57","6.96","6.64","5.43"
"2442","新美齊","1233.44","26.41","2.55","4.86","4.17"
"2465","麗臺科技","2476.90","16.25","-3.17","1.97","1.80"
"2474","可成科技","82413.39","46.29","35.70","42.10","30.55"
"2480","敦陽科技","4402.93","25.30","6.78","7.50","6.09"
"2612","中航","3361.46","27.96","17.57","12.32","9.90"
"2722","夏都","738.03","57.22","26.90","27.32","22.03"
"2823","中壽","203925.51","7.02","5.20","5.24","4.50"
"2841","台灣土地","592.07","77.97","-63.65","371.43","344.49"
"2923","F-鼎固","12785.20","46.07","64.98","59.30","28.86"
"3008","大立光","55868.89","57.38","49.50","52.19","43.24"
"3011","今皓","2097.95","4.15","-6.72","-5.37","-5.07"
"3014","聯陽","3084.42","48.74","13.74","13.52","10.97"
"3029","零壹科技","5404.24","9.98","3.83","4.13","3.36"
"3030","德律科技","4754.39","53.31","24.20","26.21","21.01"
"3040","遠見","218.79","62.49","19.93","98.70","62.39"
"3044","健鼎科技","43382.82","15.66","6.59","8.14","6.53"
"3045","台灣大","116144.21","31.31","16.16","15.64","13.92"
"3189","景碩科技","23061.31","25.85","13.29","13.90","11.84"
"3413","京鼎","5409.18","17.46","9.50","10.33","9.52"
"3443","創意電子","7762.13","28.27","7.25","7.50","6.37"
"3474","華亞科","60762.32","33.02","31.05","34.02","29.75"
"3504","揚明光學","4460.49","27.50","2.22","3.91","2.88"
"3518","柏騰科技","1181.78","23.14","-13.41","-11.49","-14.34"
"3679","新至陞","4398.36","18.70","8.58","11.74","7.72"
"3686","達能","1575.12","-28.87","-33.83","-33.32","-38.34"
"4108","懷特","20.98","12.89","-1270.14","-1130.58","-1154.36"
"4144","F-康聯","2693.03","51.86","17.55","20.43","14.40"
"4733","上緯企業","9655.11","25.98","16.13","14.29","10.55"
"4919","新唐科技","7313.39","41.70","6.65","7.82","6.41"
"4934","太極能源","7825.34","8.03","3.65","4.26","4.26"
"4968","立積","1716.22","33.43","9.42","9.85","8.51"
"4999","鑫禾","2158.72","34.27","20.86","24.39","20.24"
"5007","三星科技","6697.04","22.37","15.41","16.73","13.86"
"5203","訊連","1976.41","85.25","31.93","35.03","28.16"
"5225","F-東科","8166.47","15.10","2.60","3.69","3.13"
"6120","達運","41172.14","4.03","-0.73","-0.45","-1.03"
"6155","鈞寶","632.33","26.68","9.06","19.32","16.46"
"6183","關貿","1313.55","39.53","15.99","16.83","14.05"
"6196","帆宣科技","18031.62","11.17","3.19","3.25","2.55"
"6202","盛群","3967.84","49.11","21.34","23.86","20.62"
"6251","定穎電子","11150.21","12.96","-1.44","-0.83","-0.83"
"6257","矽格","5054.52","26.73","16.42","18.05","14.86"
"6269","台郡科技","18100.33","26.55","18.80","20.24","15.24"
"6282","康舒","20836.09","15.14","2.73","4.01","3.22"
"6409","旭隼","8039.32","30.31","20.88","21.90","17.62"
"6414","樺漢科技","11056.66","18.24","10.74","11.85","9.73"
"6452","F-康友","4410.12","40.39","26.18","27.52","23.36"
"8039","台虹科技","10267.87","21.08","10.22","8.45","6.89"
"8201","無敵","960.88","9.81","-30.94","-24.83","-25.46"
"8222","寶一科技","883.01","20.89","10.11","11.12","9.69"
"8341","日友","1624.50","56.39","38.51","38.40","31.61"
"8454","富邦媒","25639.90","12.10","4.13","4.82","3.87"
"8940","新天地","1652.30","46.00","0.26","0.37","-0.67"
"9919","康那香","4475.15","13.89","0.35","-0.30","-0.28"
