"公司代號","公司名稱","營業收入(百萬元)","毛利率(%)(營業毛利)/(營業收入)","營業利益率(%)(營業利益)/(營業收入)","稅前純益率(%)(稅前純益)/(營業收入)","稅後純益率(%)(稅後純益)/(營業收入)"
"1101","台泥","82891.07","19.06","15.11","16.25","13.45"
"1102","亞泥","49722.59","10.74","7.33","13.03","11.40"
"1103","嘉泥","2738.06","-1.43","-12.75","6.83","7.05"
"1104","環球水泥","3760.64","9.42","1.76","20.72","20.18"
"1108","幸福水泥","3521.21","12.71","7.20","5.83","4.52"
"1109","信大水泥","2911.97","14.08","3.68","4.97","4.15"
"1110","東泥","1448.87","13.72","10.84","11.86","12.93"
"1201","味全公司","22540.13","32.31","4.99","4.79","3.12"
"1203","味王公司","4662.51","21.53","7.82","8.90","7.19"
"1210","大成長城","65599.62","8.58","0.81","1.27","0.99"
"1213","大飲","591.60","16.12","4.66","5.10","4.18"
"1215","卜蜂企業","13404.79","8.58","2.12","2.34","1.80"
"1216","統一","325527.67","31.22","4.63","6.58","5.34"
"1217","愛之味","3564.79","31.64","1.49","-1.96","-2.22"
"1218","泰山企業","7221.06","13.67","-1.79","1.26","1.01"
"1219","福壽實業","7727.85","4.64","-0.93","-0.60","-0.56"
"1220","台榮","2615.58","8.06","2.45","2.86","2.48"
"1225","福懋油","10606.97","4.29","0.76","0.52","0.37"
"1227","佳格","15090.86","28.15","10.71","11.59","9.54"
"1229","聯華實業","3926.56","10.42","3.41","26.41","24.66"
"1231","聯華食品","4019.16","25.06","4.70","6.75","5.45"
"1232","大統益","14700.29","6.17","3.65","4.08","3.42"
"1233","天仁","1531.20","60.80","12.72","14.42","11.99"
"1234","黑松","5321.80","27.99","2.37","9.67","-3.33"
"1235","興泰","189.86","6.81","-5.14","-19.12","-20.57"
"1236","宏亞食品","1860.31","27.56","5.36","3.01","2.83"
"1262","F-綠悅","3757.85","32.67","26.59","25.11","21.10"
"1301","台塑","159479.01","6.92","1.68","10.52","9.46"
"1303","南亞塑膠","230543.01","10.70","4.93","9.87","8.11"
"1304","台聚","43606.58","7.97","2.38","3.79","3.17"
"1305","華夏","10716.81","14.32","6.73","7.52","6.15"
"1307","三芳化工","7799.83","23.83","8.77","9.37","7.09"
"1308","亞聚","4125.19","7.56","3.78","11.11","10.07"
"1309","台達化工","16105.05","2.65","-0.38","0.53","0.60"
"1310","台苯","16008.53","7.33","5.22","4.85","4.85"
"1312","國喬石化","19666.29","13.09","8.49","9.51","7.88"
"1313","聯成","38096.18","2.63","-0.51","1.25","1.19"
"1314","中石化","26384.52","-1.98","-5.38","-4.34","-4.49"
"1315","達新工業","2734.14","17.50","2.68","6.20","5.78"
"1316","上曜","980.77","21.64","-10.93","-13.21","-13.86"
"1319","東陽","14276.62","23.28","7.39","9.26","7.66"
"1321","大洋","4373.47","6.47","-0.28","0.93","0.93"
"1323","永裕","2436.27","24.96","12.65","13.02","9.08"
"1324","地球工業","1088.31","16.51","4.06","3.81","3.15"
"1325","恒大","779.13","12.64","6.43","8.08","6.43"
"1326","台化","318712.81","8.44","5.29","8.13","7.18"
"1337","F-再生","4515.90","38.64","31.41","31.92","23.42"
"1338","F-廣華","5033.64","21.78","5.58","6.69","5.30"
"1339","昭輝","879.23","32.71","18.03","21.29","17.07"
"1340","F-勝悅","1874.05","36.51","32.27","31.66","26.42"
"1402","遠東新","179181.52","19.66","6.09","7.38","6.14"
"1410","南染","453.38","29.85","17.48","18.86","17.34"
"1413","宏洲纖維","3556.17","-3.11","-5.62","-5.85","-5.93"
"1414","東和","1058.35","12.57","7.85","10.49","10.82"
"1416","廣豐","268.08","23.53","-32.90","-21.10","-43.98"
"1417","嘉裕","2390.70","25.34","-5.56","-3.43","-4.04"
"1418","東華","1465.40","0.27","-8.20","-6.22","-6.42"
"1419","新紡","717.14","24.65","-2.57","24.92","24.41"
"1423","利華羊毛","670.59","-0.44","-4.69","-5.08","-3.84"
"1432","大魯閣","790.75","14.61","-9.62","-9.41","-9.59"
"1434","福懋興業","35950.81","9.49","4.20","5.57","4.60"
"1435","中福國際","17.55","84.02","-39.66","-14.08","-14.08"
"1436","華友聯","1.87","37.11","-1296.85","-889.00","-887.56"
"1437","勤益投控","1016.38","1.82","-5.81","-12.84","-13.81"
"1438","裕豐","49.23","70.17","51.74","50.56","46.02"
"1439","中和羊毛","340.18","1.71","-4.00","0.72","0.54"
"1440","南紡","16363.48","12.80","6.59","8.48","6.35"
"1441","大東紡織","985.05","7.50","-3.18","-1.15","-1.13"
"1442","名軒","3644.29","43.11","37.01","37.14","34.57"
"1443","立益紡織","1722.49","3.49","-4.12","-6.78","-6.78"
"1444","力麗","9408.45","6.33","2.01","7.05","6.75"
"1445","大宇紡織","1581.67","9.40","2.68","3.76","3.70"
"1446","宏和","580.96","20.29","-0.14","1.09","0.84"
"1447","力鵬","19769.12","5.77","3.19","4.86","4.27"
"1449","佳和實業","2679.93","4.66","-6.45","-5.11","-5.17"
"1451","年興紡織","10446.60","12.37","6.35","7.17","6.00"
"1452","宏益","1595.37","7.98","4.22","6.66","4.99"
"1453","大將","173.96","6.54","-6.37","-1.85","-4.17"
"1454","台富","1609.88","8.09","1.66","2.39","2.11"
"1455","集盛","13217.54","3.32","0.96","2.27","2.04"
"1456","怡華","567.98","0.72","-6.99","-14.91","-14.23"
"1457","宜進","3245.68","2.97","-0.79","2.83","2.50"
"1459","聯發紡織","2915.79","2.29","-1.35","1.25","1.07"
"1460","宏遠","5430.79","15.43","2.24","2.66","2.66"
