"公司代號","公司名稱","營業收入(百萬元)","毛利率(%)(營業毛利)/(營業收入)","營業利益率(%)(營業利益)/(營業收入)","稅前純益率(%)(稅前純益)/(營業收入)","稅後純益率(%)(稅後純益)/(營業收入)"
"3593","力銘","303.40","-2.71","-26.70","-37.48","-36.25"
"3596","智易科技","9330.60","10.30","0.80","0.83","0.34"
"3598","奕力","3919.74","19.13","3.85","3.63","3.16"
"3605","宏致","1662.95","24.75","-1.21","0.92","0.60"
"3607","谷崧","4908.42","19.44","11.80","11.93","7.86"
"3617","碩天科技","2872.74","43.08","9.30","7.40","5.42"
"3622","洋華","1415.85","-15.29","-31.33","-39.02","-40.03"
"3645","達邁","702.10","30.81","16.45","15.21","11.06"
"3653","健策","1706.80","24.69","7.96","7.23","6.34"
"3661","F- 世芯","1577.70","17.80","-1.80","-0.42","-2.54"
"3665","F-貿聯","3944.40","27.16","9.66","11.05","8.61"
"3669","圓展","758.34","47.84","-4.90","-5.02","-4.93"
"3673","F-TPK","52690.51","4.55","-1.95","-3.81","-3.08"
"3679","新至陞","1876.67","11.05","0.89","2.23","2.92"
"3682","亞太電信","7617.75","15.69","-18.61","-17.82","-14.75"
"3686","達能","763.74","-33.40","-38.65","-38.85","-38.37"
"3694","海華科技","2322.15","15.28","-4.02","-4.38","-4.59"
"3698","隆達","7101.76","12.96","3.06","3.17","2.82"
"3701","大眾投控","6412.80","8.03","-5.13","-2.96","-3.18"
"3702","大聯大","232466.64","4.38","1.75","1.55","1.10"
"3703","欣陸投控","12426.78","9.09","4.45","4.11","3.37"
"3704","合勤控","10201.11","19.10","-3.20","-6.67","-6.31"
"3705","永信","2985.39","43.34","12.79","15.55","12.31"
"3706","神達","30039.71","10.26","1.56","4.02","3.17"
"4104","佳醫","3041.88","19.97","5.54","9.06","7.61"
"4106","雃博","1067.90","44.55","13.88","14.23","10.57"
"4108","懷特","9.99","6.69","-1575.06","-1491.06","-1490.95"
"4119","旭富製藥","1022.71","38.00","26.45","25.72","21.27"
"4133","亞諾法","234.43","49.52","15.63","13.68","11.09"
"4137","F-麗豐","1816.02","75.63","26.77","28.12","22.69"
"4141","F - 龍燈","4789.27","36.87","3.50","-5.17","-5.96"
"4142","國光生技","55.31","-113.05","-457.37","-448.56","-446.90"
"4144","F-康聯","1248.86","50.19","17.95","26.01","19.11"
"4164","承業醫","1029.14","30.73","9.80","6.16","4.76"
"4190","F-佐登","811.42","67.30","26.54","27.25","20.64"
"4306","炎洲","8676.42","11.65","2.23","4.63","3.39"
"4414","如興","1231.38","9.71","-5.45","-8.98","-8.95"
"4426","利勤實業","1011.68","49.46","34.66","32.91","27.66"
"4526","東台","4152.50","23.48","5.03","2.22","1.46"
"4532","瑞智精密","8891.42","17.41","8.47","9.08","6.50"
"4536","拓凱","3135.97","25.03","7.73","9.43","7.43"
"4545","銘鈺","1575.31","35.85","18.71","18.86","14.95"
"4551","智伸科","1513.75","21.68","11.84","11.13","8.21"
"4555","台灣氣立","664.02","51.14","27.54","27.15","20.03"
"4557","F-永新","717.21","33.48","17.25","16.05","10.75"
"4720","德淵企業","1174.48","21.90","4.81","5.27","3.88"
"4722","國精化學","2273.01","17.54","8.73","7.51","5.88"
"4725","信昌化","7198.55","-8.88","-11.93","-13.65","-13.85"
"4733","上緯企業","4763.09","22.33","13.04","11.90","9.09"
"4737","華廣","740.86","39.80","8.79","5.24","4.40"
"4746","台耀","1013.21","32.85","10.94","7.37","5.74"
"4755","三福化工","1718.92","11.92","4.19","5.86","4.74"
"4763","F-材料","729.10","26.69","18.02","19.45","16.30"
"4904","遠傳","48421.02","40.12","16.94","15.41","12.75"
"4906","正文","9215.87","12.11","0.83","0.83","0.67"
"4912","F-聯德","1353.84","25.58","10.22","6.59","4.48"
"4915","致伸","27497.49","10.83","2.78","3.55","2.79"
"4916","事欣科","700.59","12.20","-3.51","-4.50","-3.93"
"4919","新唐科技","3556.38","42.58","7.38","8.87","7.20"
"4927","F-泰鼎","3818.08","16.19","6.15","4.48","3.74"
"4930","燦星網通","6418.58","13.33","-1.25","0.57","-0.27"
"4934","太極能源","3092.44","4.30","-0.64","-0.49","-0.20"
"4935","F-茂林","3296.96","22.25","11.72","11.75","9.08"
"4938","和碩","492191.32","6.29","2.97","3.37","2.63"
"4942","嘉彰","3672.62","10.59","-1.58","-0.84","-2.15"
"4952","凌通科技","1507.77","37.01","13.76","13.64","11.71"
"4956","光鋐","807.30","21.16","8.05","5.71","3.31"
"4958","F-臻鼎","36439.45","17.31","7.95","9.68","7.98"
"4960","奇美材料","6561.41","18.05","12.56","12.83","9.65"
"4968","立積","790.94","33.29","11.57","10.73","9.02"
"4976","佳凌","627.57","5.62","-13.40","-13.47","-11.29"
"4977","F-眾達","819.99","23.23","11.40","15.03","14.91"
"4984","F-科納","516.38","39.68","5.57","7.53","5.76"
"4994","傳奇","589.39","90.37","4.83","5.28","-3.76"
"4999","鑫禾","972.85","33.15","18.61","18.06","14.13"
"5007","三星科技","3537.60","20.80","14.16","15.14","12.66"
"5203","訊連","947.73","85.85","27.68","29.49","24.64"
"5215","F-科嘉","883.13","27.48","12.62","14.65","11.57"
"5225","F-東科","3884.92","13.73","0.15","2.09","1.71"
"5234","達興","1685.07","27.56","9.94","9.84","8.52"
"5243","F-乙盛","3812.89","13.67","3.80","3.95","3.57"
"5259","清惠","504.18","-6.86","-13.71","-17.20","-16.29"
"5264","F-鎧勝","16186.29","19.38","10.80","14.42","11.50"
"5269","祥碩科技","685.09","45.21","8.58","7.34","6.26"
"5285","界霖","1147.24","18.03","9.49","8.47","6.39"
"5288","F-豐祥","1833.59","18.63","12.17","13.42","10.30"
"5305","敦南科技","4603.47","21.57","2.44","17.99","14.26"
"5388","中磊電子","14909.29","13.39","3.73","4.06","3.32"
"5434","崇越科技","9454.38","12.36","5.26","6.17","4.81"
"5469","瀚宇博德","19487.02","8.45","-1.18","0.26","-0.25"
"5471","松翰科技","1657.03","42.60","13.96","14.16","12.35"
"5484","慧友電子","543.24","28.41","-16.81","-19.73","-19.66"
"5515","建國工程","2331.37","5.20","-1.50","-0.70","-0.32"
"5519","隆大營建","1260.15","20.48","11.74","11.99","11.52"
"5521","工信","3532.05","5.30","3.09","2.99","2.51"
"5522","遠雄建設","15032.36","34.50","26.98","29.61","23.33"
"5525","順天建設","2436.23","27.07","22.52","22.07","20.49"
"5531","鄉林建設","766.41","46.98","-29.16","-44.87","-48.20"
"5533","皇鼎建設","1824.62","40.08","33.38","31.85","25.56"
"5534","長虹","814.89","31.35","11.54","8.48","-0.43"
"5538","F-東明","3074.16","15.06","6.85","7.00","5.24"
"5607","遠雄港","615.85","47.36","21.10","16.45","16.45"
"5608","四維航業","2287.83","8.89","3.63","1.74","-0.73"
"5706","鳳凰旅遊","1471.04","15.34","6.98","8.26","7.44"
"5871","F-中租","17595.31","59.94","24.67","27.46","20.38"
"5906","F-台南","629.47","32.23","-46.62","-41.26","-41.22"
"5907","F-大洋","3833.61","84.02","22.96","23.92","15.76"
"6108","競國實業","3736.77","10.49","0.30","-2.64","-2.87"
"6112","聚碩","4282.70","8.80","3.44","3.56","2.86"
"6115","鎰勝","3401.28","15.18","6.73","7.37","5.26"
"6116","彩晶","9417.81","8.64","-4.91","-0.47","-1.56"
"6117","迎廣科技","935.92","13.51","-15.11","-15.47","-13.63"
"6120","達運","20435.19","4.24","-0.23","0.55","0.02"
"6128","上福全球","967.05","42.47","19.64","17.29","13.55"
"6131","悠克國際","125.39","-2.45","-64.38","-51.03","-51.05"
"6133","金橋科技","603.57","21.49","1.90","1.61","0.53"
"6136","富爾特","354.94","31.70","5.91","26.28","24.22"
"6139","亞翔工程","6672.54","5.24","0.47","1.11","0.59"
"6141","柏承科技","1183.11","1.17","-15.23","-16.15","-13.11"
"6142","友勁科技","2245.25","10.53","-6.71","-4.98","-4.85"
"6145","勁永國際","5272.34","6.09","1.71","2.99","2.07"
"6152","百一電子","3810.40","9.61","-6.32","-6.46","-5.76"
"6153","嘉聯益","7283.80","7.23","-3.14","-2.08","-1.86"
