"公司代號","公司名稱","營業收入(百萬元)","毛利率(%)(營業毛利)/(營業收入)","營業利益率(%)(營業利益)/(營業收入)","稅前純益率(%)(稅前純益)/(營業收入)","稅後純益率(%)(稅後純益)/(營業收入)"
"1101","台泥","52784.23","16.57","12.53","13.17","10.99"
"1102","亞泥","32112.81","10.60","6.97","14.90","13.41"
"1103","嘉泥","1792.34","-1.57","-12.79","-0.81","0.81"
"1104","環球水泥","2465.35","9.67","1.76","21.96","21.11"
"1108","幸福水泥","2325.41","12.55","7.29","5.92","4.56"
"1109","信大水泥","1926.41","15.90","4.81","6.47","5.54"
"1110","東泥","947.88","14.17","11.21","7.01","8.26"
"1201","味全公司","14278.48","32.11","5.07","5.04","3.20"
"1203","味王公司","3069.52","20.77","7.01","8.50","6.93"
"1210","大成長城","42614.91","8.33","0.35","0.78","0.53"
"1213","大飲","334.01","15.81","0.94","1.60","1.10"
"1215","卜蜂企業","8584.08","7.64","1.11","1.35","0.90"
"1216","統一","211179.66","31.42","4.82","6.52","5.14"
"1217","愛之味","2017.13","32.02","0.16","0.72","0.26"
"1218","泰山企業","4758.28","11.70","-1.59","0.62","0.36"
"1219","福壽實業","5005.82","4.27","-1.34","-1.04","-0.98"
"1220","台榮","1652.61","7.05","1.09","1.54","1.28"
"1225","福懋油","7146.57","4.31","0.87","0.78","0.62"
"1227","佳格","9517.66","29.01","11.90","13.19","10.88"
"1229","聯華實業","2582.64","10.09","3.02","24.08","21.62"
"1231","聯華食品","2654.54","25.25","5.21","7.51","6.01"
"1232","大統益","9864.36","6.52","4.04","4.79","4.03"
"1233","天仁","999.40","60.94","12.68","14.43","11.97"
"1234","黑松","3193.57","25.60","-0.99","6.98","-13.03"
"1235","興泰","129.89","3.91","-8.39","-36.08","-38.12"
"1236","宏亞食品","1206.66","26.17","4.61","5.02","4.14"
"1301","台塑","106334.32","6.92","1.71","9.23","8.09"
"1303","南亞塑膠","148299.71","10.43","4.56","8.93","7.21"
"1304","台聚","28107.79","8.13","2.41","4.40","3.68"
"1305","華夏","7190.28","14.94","7.32","8.76","7.22"
"1307","三芳化工","5139.81","23.32","8.62","9.97","7.09"
"1308","亞聚","2576.83","7.14","3.22","12.31","11.21"
"1309","台達化工","10143.12","2.62","-0.49","0.95","1.04"
"1310","台苯","10485.09","5.03","2.97","2.31","2.29"
"1312","國喬石化","13074.96","11.51","6.98","7.94","6.34"
"1313","聯成","25224.46","1.95","-1.07","0.54","0.61"
"1314","中石化","16998.87","-2.36","-5.75","-4.97","-5.14"
"1315","達新工業","1419.46","17.15","-1.46","3.01","3.89"
"1316","上曜","684.37","25.55","-10.12","-11.17","-11.60"
"1319","東陽","9514.73","23.32","7.71","9.65","7.81"
"1321","大洋","2850.47","5.69","-1.16","0.31","0.31"
"1323","永裕","1587.19","24.97","12.59","13.17","9.20"
"1324","地球工業","746.79","16.37","3.59","4.27","3.57"
"1325","恒大","517.54","13.56","7.11","9.76","7.65"
"1326","台化","218103.45","7.92","4.87","7.12","6.02"
"1337","F-再生","2657.67","36.49","29.16","31.38","22.87"
"1338","F-廣華","3087.07","20.62","3.87","5.68","4.60"
"1339","昭輝","621.33","33.92","19.41","24.10","19.15"
"1340","F-勝悅","1152.08","35.47","31.20","30.34","25.28"
"1402","遠東新","118701.04","18.97","5.53","7.52","6.32"
"1410","南染","298.67","28.51","15.82","17.38","16.47"
"1413","宏洲纖維","2362.50","-5.28","-7.82","-8.02","-8.06"
"1414","東和","655.93","13.79","8.88","12.72","13.26"
"1416","廣豐","145.06","36.68","-52.63","-51.59","-51.56"
"1417","嘉裕","1663.72","25.82","-4.26","-3.17","-4.02"
"1418","東華","869.05","-2.10","-10.71","-7.25","-7.50"
"1419","新紡","469.65","25.31","-2.16","24.66","24.16"
"1423","利華羊毛","446.12","-1.09","-5.11","-5.54","-3.70"
"1432","大魯閣","485.77","13.53","-11.23","-12.33","-12.93"
"1434","福懋興業","24378.19","10.45","5.22","6.01","4.98"
"1435","中福國際","11.59","83.19","-46.59","-25.32","-25.32"
"1436","華友聯","1.22","35.47","-1405.99","-956.24","-954.02"
"1437","勤益投控","685.16","3.18","-4.07","-7.10","-8.22"
"1438","裕豐","38.10","69.98","52.59","48.43","43.97"
"1439","中和羊毛","220.42","1.12","-4.50","1.10","0.80"
"1440","南紡","10635.33","13.18","7.21","9.12","6.83"
"1441","大東紡織","649.21","9.05","-1.80","0.81","0.96"
"1442","名軒","2947.30","42.05","36.21","36.21","33.75"
"1443","立益紡織","948.30","5.84","-2.51","-4.19","-4.19"
"1444","力麗","6071.54","5.42","1.05","6.01","5.68"
"1445","大宇紡織","1046.84","9.67","2.67","4.02","3.90"
"1446","宏和","410.14","22.86","2.81","4.24","3.75"
"1447","力鵬","13271.04","5.91","3.31","4.96","4.26"
"1449","佳和實業","1816.03","5.50","-5.46","-3.66","-3.82"
"1451","年興紡織","6720.90","11.90","5.81","7.09","5.98"
"1452","宏益","1088.05","7.70","4.13","5.54","4.56"
"1453","大將","121.00","15.33","2.36","4.57","3.73"
"1454","台富","1066.30","8.12","1.67","2.21","1.92"
"1455","集盛","8460.65","3.62","1.20","2.81","2.58"
"1456","怡華","380.26","2.27","-5.40","-14.75","-13.53"
"1457","宜進","2218.24","3.78","0.14","0.27","0.22"
"1459","聯發紡織","1811.63","2.95","-1.15","-0.87","-1.10"
"1460","宏遠","3547.36","15.62","2.39","3.41","3.41"
"1463","強盛染整","434.58","9.80","-3.59","-1.13","-1.12"
"1464","得力實業","2080.36","11.67","-1.16","0.41","0.14"
"1465","偉全實業","1226.35","12.49","3.60","5.50","4.74"
"1466","聚隆","2575.58","8.86","2.13","2.02","1.49"
"1467","南緯實業","3316.07","18.65","2.28","3.05","2.06"
