"公司代號","公司名稱","營業收入(百萬元)","毛利率(%)(營業毛利)/(營業收入)","營業利益率(%)(營業利益)/(營業收入)","稅前純益率(%)(稅前純益)/(營業收入)","稅後純益率(%)(稅後純益)/(營業收入)"
"1101","台泥","24114.05","12.95","8.40","9.71","8.29"
"1102","亞泥","13931.55","6.40","2.44","11.41","9.84"
"1103","嘉泥","741.19","-6.06","-20.21","4.56","8.05"
"1104","環球水泥","1248.07","9.78","2.42","14.92","14.70"
"1108","幸福水泥","1203.67","12.61","8.16","7.03","5.31"
"1109","信大水泥","916.24","13.78","3.92","4.76","3.83"
"1110","東泥","460.23","14.47","11.25","12.93","13.28"
"1201","味全公司","6700.85","32.45","5.62","5.25","3.69"
"1203","味王公司","1643.33","20.57","8.07","8.61","7.31"
"1210","大成長城","21357.13","9.08","1.17","1.58","1.36"
"1213","大飲","174.68","17.03","6.68","6.42","5.10"
"1215","卜蜂企業","4380.23","8.68","2.24","2.04","1.57"
"1216","統一","104634.79","31.35","5.50","6.67","5.49"
"1217","愛之味","886.49","31.50","-1.38","3.05","1.44"
"1218","泰山企業","2371.39","11.84","-0.35","-0.03","-0.04"
"1219","福壽實業","2342.16","4.21","-1.72","-1.48","-1.48"
"1220","台榮","810.34","10.30","3.16","4.04","3.95"
"1225","福懋油","3388.53","4.64","1.12","0.90","0.72"
"1227","佳格","5076.33","31.17","14.76","16.59","13.78"
"1229","聯華實業","1254.00","10.53","3.03","18.52","18.31"
"1231","聯華食品","1482.50","27.31","7.91","9.05","7.52"
"1232","大統益","4882.49","6.82","4.31","5.32","4.35"
"1233","天仁","532.76","61.03","14.82","15.57","12.89"
"1234","黑松","1574.86","24.39","0.30","8.12","6.52"
"1235","興泰","58.08","1.21","-12.40","-55.59","-59.98"
"1236","宏亞食品","726.31","29.35","10.19","10.28","8.65"
"1301","台塑","50044.54","6.19","1.08","11.28","10.99"
"1303","南亞塑膠","74265.11","11.17","5.56","11.05","9.34"
"1304","台聚","12701.40","9.17","3.19","5.54","4.96"
"1305","華夏","3201.92","18.74","10.82","12.95","11.01"
"1307","三芳化工","2605.64","23.81","9.75","11.72","8.46"
"1308","亞聚","1227.23","8.08","4.03","11.61","10.65"
"1309","台達化工","4389.76","3.09","-0.41","0.98","1.19"
"1310","台苯","4958.71","3.43","1.07","0.56","0.52"
"1312","國喬石化","5981.40","8.38","3.61","4.37","3.64"
"1313","聯成","11397.75","3.32","0.02","1.61","1.48"
"1314","中石化","9074.55","-1.42","-4.58","-2.85","-2.84"
"1315","達新工業","700.17","17.15","-1.16","0.41","0.68"
"1316","上曜","342.81","25.71","-7.63","-7.81","-8.28"
"1319","東陽","4617.09","22.47","7.24","8.61","7.25"
"1321","大洋","1228.60","6.60","-0.63","0.11","0.11"
"1323","永裕","777.65","23.84","11.12","11.17","8.46"
"1324","地球工業","386.51","14.15","1.78","4.32","3.64"
"1325","恒大","268.17","15.26","9.04","11.10","9.38"
"1326","台化","105123.05","9.09","6.07","8.94","8.12"
"1337","F-再生","958.88","38.77","29.56","31.88","24.00"
"1338","F-廣華","1430.57","21.16","3.32","4.69","3.57"
"1339","昭輝","314.76","35.51","19.66","26.88","22.31"
"1402","遠東新","57620.49","18.98","5.48","7.15","6.19"
"1410","南染","138.78","25.92","12.42","14.68","14.07"
"1413","宏洲纖維","1128.66","-3.71","-6.26","-6.29","-6.34"
"1414","東和","308.41","13.03","8.13","10.49","10.49"
"1416","廣豐","37.72","77.15","-43.25","-26.23","-26.24"
"1417","嘉裕","830.91","25.28","-4.61","-0.32","-1.19"
"1418","東華","473.88","1.33","-6.99","-5.12","-5.26"
"1419","新紡","223.16","23.32","-4.57","-5.24","-5.79"
"1423","利華羊毛","232.65","11.73","7.84","7.02","9.10"
"1432","大魯閣","117.90","6.95","-52.06","-49.45","-49.45"
"1434","福懋興業","11703.21","9.89","4.78","5.37","4.49"
"1435","中福國際","5.87","82.19","-29.98","-20.78","-20.78"
"1436","華友聯","0.60","35.10","-1423.84","-517.05","-517.05"
"1437","勤益投控","326.32","0.99","-6.81","-11.33","-11.63"
"1438","裕豐","8.85","68.55","33.94","42.22","38.12"
"1439","中和羊毛","128.88","1.85","-2.56","2.39","2.05"
"1440","南紡","5107.41","12.87","6.63","8.46","6.50"
"1441","大東紡織","325.83","8.42","-1.92","1.74","1.79"
"1442","名軒","974.12","41.39","34.68","34.84","32.69"
"1443","立益紡織","391.22","11.25","-1.70","-2.11","-2.11"
"1444","力麗","2816.75","5.86","1.93","6.99","7.10"
"1445","大宇紡織","456.74","7.65","0.85","4.09","3.84"
"1446","宏和","204.21","25.10","6.33","7.75","6.03"
"1447","力鵬","6799.61","7.28","4.87","6.09","5.10"
"1449","佳和實業","788.66","2.64","-10.46","-7.35","-7.35"
"1451","年興紡織","3164.67","10.60","4.33","5.72","4.70"
