"公司代號","公司名稱","營業收入(百萬元)","毛利率(%)(營業毛利)/(營業收入)","營業利益率(%)(營業利益)/(營業收入)","稅前純益率(%)(稅前純益)/(營業收入)","稅後純益率(%)(稅後純益)/(營業收入)"
"1101","台泥","116098.95","19.66","15.31","16.02","13.02"
"1102","亞泥","70172.78","12.85","9.47","14.65","12.04"
"1103","嘉泥","4268.31","5.50","9.75","31.37","30.22"
"1104","環球水泥","5276.16","8.75","2.18","21.77","21.21"
"1108","幸福水泥","4869.59","11.14","5.57","4.35","3.34"
"1109","信大水泥","4551.24","17.69","7.09","8.15","7.09"
"1110","東泥","2024.60","12.73","9.60","5.53","7.25"
"1201","味全公司","29200.40","31.59","4.44","3.79","2.41"
"1203","味王公司","5996.15","21.81","7.43","8.85","6.06"
"1210","大成長城","90478.02","8.46","0.93","2.87","2.49"
"1213","大飲","720.14","14.67","2.42","2.90","2.28"
"1215","卜蜂企業","18122.41","9.30","2.98","3.12","2.49"
"1216","統一","423056.21","30.93","4.28","5.98","4.90"
"1217","愛之味","4479.80","30.77","-0.81","-3.06","-3.16"
"1218","泰山企業","9112.16","12.55","-3.83","-1.16","-1.31"
"1219","福壽實業","10510.87","5.08","-0.17","0.19","0.23"
"1220","台榮","3535.82","6.85","1.03","1.36","1.14"
"1225","福懋油","14209.09","4.80","1.06","0.69","0.51"
"1227","佳格","20379.21","27.75","9.80","11.03","9.14"
"1229","聯華實業","5364.07","11.37","4.50","25.65","24.65"
"1231","聯華食品","5386.84","25.53","6.04","8.00","6.30"
"1232","大統益","20047.36","6.36","3.79","4.25","3.56"
"1233","天仁","2076.26","60.40","11.51","13.37","11.11"
"1234","黑松","6537.72","28.13","1.61","14.92","4.77"
"1235","興泰","249.39","7.24","-5.06","-17.38","-18.45"
"1236","宏亞食品","2685.12","29.28","7.24","5.83","5.07"
"1262","F-綠悅","5170.77","33.20","27.35","26.01","21.89"
"1301","台塑","215424.77","7.27","2.13","10.75","9.62"
"1303","南亞塑膠","311005.29","10.50","4.76","9.95","8.06"
"1304","台聚","58678.88","8.04","2.32","3.59","2.88"
"1305","華夏","14191.32","13.83","6.42","7.07","5.74"
"1307","三芳化工","10488.15","23.99","9.13","9.80","7.62"
"1308","亞聚","5804.23","8.47","4.81","10.44","9.25"
"1309","台達化工","21438.96","2.37","-0.80","0.07","0.08"
"1310","台苯","21756.53","6.77","4.73","4.27","4.68"
"1312","國喬石化","26288.58","12.36","7.70","9.92","8.22"
"1313","聯成","51599.11","2.81","-0.31","1.27","1.15"
"1314","中石化","35338.54","-1.50","-5.09","-3.92","-4.13"
"1315","達新工業","3388.80","17.05","1.80","5.36","5.03"
"1316","上曜","1282.36","18.98","-10.03","-16.09","-16.40"
"1319","東陽","19616.36","23.05","7.10","8.66","7.13"
"1321","大洋","5889.76","6.32","-0.33","0.68","0.22"
"1323","永裕","3289.48","25.14","12.94","13.44","9.21"
"1324","地球工業","1488.30","16.12","3.28","3.64","2.92"
"1325","恒大","1089.40","11.92","5.90","8.13","6.58"
"1326","台化","427999.93","7.61","4.43","7.08","6.23"
"1337","F-再生","7180.94","33.50","27.18","26.54","17.93"
"1338","F-廣華","7313.09","22.02","7.01","8.38","6.29"
"1339","昭輝","1222.79","33.68","19.22","22.15","17.95"
"1340","F-勝悅","2673.66","36.37","31.93","31.42","26.23"
"1402","遠東新","238840.66","19.46","5.57","6.91","5.98"
"1410","南染","603.30","29.44","17.29","18.76","16.87"
"1413","宏洲纖維","4669.07","-3.47","-6.05","-6.32","-6.38"
"1414","東和","1340.59","12.46","7.32","9.63","10.17"
"1416","廣豐","330.77","16.54","-49.64","35.27","19.21"
"1417","嘉裕","3315.95","26.83","-3.59","0.97","0.50"
"1418","東華","2146.32","1.65","-6.68","-5.53","-5.70"
"1419","新紡","1005.65","24.55","-3.30","16.71","16.35"
"1423","利華羊毛","821.89","3.54","-0.89","-2.72","-0.45"
"1432","大魯閣","897.94","15.47","-17.51","-12.16","-12.69"
"1434","福懋興業","47461.89","9.63","4.25","5.60","4.59"
"1435","中福國際","23.94","84.97","-56.57","-46.98","-46.98"
"1436","華友聯","93.27","17.67","-21.23","-11.87","-11.84"
"1437","勤益投控","1352.66","1.92","-10.03","-38.40","-43.95"
"1438","裕豐","60.91","71.37","52.51","53.22","48.86"
"1439","中和羊毛","449.64","2.41","-4.41","0.45","0.36"
"1440","南紡","21549.29","11.96","5.73","7.40","5.55"
"1441","大東紡織","1330.60","6.94","-4.43","-0.92","-0.92"
"1442","名軒","3996.94","43.15","34.89","35.02","32.58"
"1443","立益紡織","2273.59","0.66","-7.53","-7.62","-7.69"
"1444","力麗","12367.73","5.57","1.34","5.84","5.62"
"1445","大宇紡織","2087.41","8.76","2.14","3.20","3.13"
"1446","宏和","770.88","17.96","-2.32","-0.87","-1.48"
"1447","力鵬","26503.19","5.51","2.97","4.63","4.04"
"1449","佳和實業","3721.14","5.02","-5.46","-4.26","-4.34"
"1451","年興紡織","13877.51","11.22","5.35","6.72","5.68"
