"公司代號","公司名稱","營業收入(百萬元)","毛利率(%)(營業毛利)/(營業收入)","營業利益率(%)(營業利益)/(營業收入)","稅前純益率(%)(稅前純益)/(營業收入)","稅後純益率(%)(稅後純益)/(營業收入)"
"1101","台泥","21440.14","13.34","7.90","6.86","4.55"
"1102","亞泥","15362.53","10.62","6.75","12.01","10.04"
"1103","嘉泥","671.36","-11.27","-27.67","-31.21","-27.30"
"1104","環球水泥","1327.43","8.30","1.85","20.32","19.73"
"1108","幸福水泥","1290.90","20.88","15.37","14.48","12.01"
"1109","信大水泥","951.79","12.11","2.12","0.82","0.16"
"1110","東泥","475.43","9.84","6.89","6.61","7.57"
"1201","味全公司","4742.99","26.59","-6.44","-7.65","-6.94"
"1203","味王公司","1654.45","24.22","11.16","15.53","12.28"
"1210","大成長城","20079.30","9.30","1.06","0.91","0.45"
"1213","大飲","182.70","18.65","6.83","7.44","6.06"
"1215","卜蜂企業","4008.46","12.55","5.40","5.51","4.46"
"1216","統一","104940.24","32.91","5.98","7.98","6.30"
"1217","愛之味","1016.19","29.35","-7.43","-7.82","-7.54"
"1218","泰山企業","1982.17","14.44","-1.28","-0.47","-0.49"
"1219","福壽實業","2325.25","8.00","0.94","1.13","0.82"
"1220","台榮","837.27","5.99","-1.52","-0.58","-0.46"
"1225","福懋油","2718.61","6.13","1.83","1.47","1.19"
"1227","佳格","7183.05","33.11","16.66","16.91","12.79"
"1229","聯華實業","1253.79","12.45","4.18","23.04","22.53"
"1231","聯華食品","1677.67","21.91","6.80","7.04","5.84"
"1232","大統益","4750.99","9.36","6.17","6.18","5.13"
"1233","天仁","565.92","59.29","12.56","12.86","10.62"
"1234","黑松","1331.19","28.71","-2.95","11.11","9.24"
"1235","興泰","22.33","2.86","-18.93","-0.21","-0.86"
"1236","宏亞食品","705.96","30.18","12.33","12.38","10.35"
"1262","F-綠悅","1406.80","36.84","29.73","29.33","24.85"
"1301","台塑","47697.11","11.68","6.16","9.33","7.64"
"1303","南亞塑膠","79525.77","13.89","8.20","12.35","10.27"
"1304","台聚","13066.42","10.36","3.22","3.53","3.00"
"1305","華夏","3661.07","13.72","5.91","5.60","4.64"
"1307","三芳化工","2971.58","27.21","12.80","11.74","9.57"
"1308","亞聚","1230.67","10.23","6.49","11.48","9.86"
"1309","台達化工","4075.10","6.78","2.08","1.81","2.02"
"1310","台苯","2268.32","5.53","2.63","1.93","1.30"
"1312","國喬石化","5008.78","12.09","6.32","7.73","6.52"
"1313","聯成","10935.00","4.81","0.94","0.99","0.80"
"1314","中石化","7398.60","2.30","-1.89","2.61","2.47"
"1315","達新工業","638.63","18.46","1.67","1.02","0.48"
"1316","上曜","208.39","18.09","-17.86","-22.53","-23.55"
"1319","東陽","5612.55","23.25","8.58","8.95","7.67"
"1321","大洋","1278.86","6.54","-0.89","0.33","0.33"
"1323","永裕","754.53","24.61","12.51","11.38","7.86"
"1324","地球工業","315.83","18.61","3.35","3.66","2.19"
